Full Spectrum,,,,,,,,,,,,,
Wavelength (nm),400,425,450,475,500,525,550,575,600,625,650,675,700
Absorbance,0.53,0.65,0.93,0.7,0.25,2.5,0.94,0.15,0,0,-0.05,-0.06,-0.06
,,,,,,,,,,,,,
Wavelength (nm),505,510,515,520,525,530,535,540,545,,,,
Absorbance,1.85,1.91,2.02,2.5,2.5,1.85,1.86,1.46,1.18,,,,
,,,,,,,,,,,,,
Wavelength (nm),520,521,522,523,524,525,526,527,528,529,530,,
Absorbance,2.5,1.85,2.5,1.91,2.06,2.5,1.96,1.97,1.92,1.97,1.85,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sample ID,Concentration,Reading 1 (510 nm),,,,,,,,,,,
Standard 1,"1,000,000",1.91,,,,,,,,,,,
Standard 2,500000,1.21,,,,,,,,,,,
Standard 3,250000,0.6,,,,,,,,,,,
Standard 4,125000,0.27,,,,,,,,,,,
Standard 5,62500,0.13,,,,,,,,,,,
Standard 6,31250,0.07,,,,,,,,,,,
Standard 7,15625,0.03,,,,,,,,,,,
Standard 8,7813,0.02,,,,,,,,,,,
Standard 9,0,0,,,,,,,,,,,
,,,,,,,,,,,,,
Sample ID,Concentration,Reading 1 (510 nm),Reading 2 (510 nm),,,,,,,,,,
Unknown 1,,0.88,0.88,,,,,,,,,,
Unknown 2,,1.7,1.73,,,,,,,,,,
Unknown 3,,0.99,0.97,,,,,,,,,,
Unknown 4,,2.04,2.5,,,,,,,,,,
